,PCA1,PCA2,neg,neu,pos
581,0.2324409252035422,0.0226010683326991,0.0,0.795,0.205
707,-0.122067340263487,0.2053412454478657,0.0,1.0,0.0
448,-0.067221702916071,-0.0501485342482265,0.605,0.395,0.0
453,-0.0681058289549268,-0.052093442068312,0.0,1.0,0.0
228,0.0415740898616032,-0.0445612741110528,0.0,0.75,0.25
352,-0.0519146805725604,0.0276609606252819,0.0,0.715,0.285
728,-0.0681472713297237,-0.0544333804994754,0.0,0.294,0.706
212,0.2256253751632007,-0.017426454690584,0.293,0.471,0.236
79,-0.0728447742530148,-0.0724960856183008,0.0,1.0,0.0
148,0.1302050042985077,-0.0176175048877569,0.0,0.833,0.167
302,-0.1079215672329514,0.0883739247717198,0.0,0.854,0.146
628,-0.065638985337231,-0.0511311287137782,0.0,1.0,0.0
777,-0.0691013977216586,-0.0556561701470345,0.63,0.37,0.0
506,0.1828812540113457,0.0052972760174172,0.0,0.515,0.485
342,-0.1004446907299385,0.1907583507557732,0.0,1.0,0.0
485,-0.0930237608989756,-0.0786948905785152,0.0,1.0,0.0
711,0.148150716621318,-0.0229445942986101,0.0,0.657,0.343
133,-0.0647228863648648,-0.0643658579692149,0.0,0.51,0.49
703,-0.1426562941683679,0.3822458645355699,0.0,1.0,0.0
311,-0.0479352108723283,-0.0264844166958839,0.0,1.0,0.0
722,0.0708716063945313,0.2132602072365491,0.0,0.837,0.163
629,0.1066865020403328,-0.015321336807778,0.0,0.786,0.214
0,0.3696511681451535,0.0180613632976788,0.279,0.541,0.18
316,0.2291022528596062,0.003380634449433,0.0,0.598,0.402
706,-0.0633972128533447,-0.049577457121341,0.0,0.263,0.737
547,0.5108993370419856,0.160664664094712,0.0,0.667,0.333
872,-0.118506276569353,0.2143753334920641,0.0,1.0,0.0
532,0.4748354874130155,0.0458309856876268,0.0,0.714,0.286
477,0.0862299388486059,-0.0233375996951442,0.0,0.571,0.429
404,-0.0698377543524934,-0.0377740750682322,0.0,1.0,0.0
172,-0.0634340688935555,-0.0216017033728917,0.0,0.895,0.105
125,0.1784850205189207,-0.0239899732424562,0.0,0.714,0.286
394,-0.0827156884419565,-0.0953572868991202,0.081,0.919,0.0
420,-0.0645389833908906,-0.0385924233521955,0.0,1.0,0.0
552,-0.0522162057616901,0.0063165337706589,0.0,1.0,0.0
903,-0.0663892721786855,-0.0608211947315953,0.0,0.517,0.483
90,0.1723613170851696,-0.0053365556977819,0.0,0.596,0.404
939,0.0254997282073807,-0.032125471442737,0.0,1.0,0.0
181,-0.1113096235114598,0.1678443075537424,0.0,1.0,0.0
274,0.1502801321905519,-0.0278240010344707,0.0,0.8,0.2
895,-0.0906558468520457,-0.1129018436001224,0.111,0.889,0.0
69,-0.0624336234365872,-0.0451726663429764,0.0,1.0,0.0
291,0.1056032809584325,0.0002798356809614,0.0,0.714,0.286
131,-0.0696520367655121,-0.0360739470404503,0.0,0.79,0.21
300,-0.067221702992685,-0.0501486091418744,0.0,0.408,0.592
424,0.2485240719028586,0.0039033531630883,0.0,0.818,0.182
326,0.8853907141012881,0.1179519920887051,0.0,0.8,0.2
144,-0.0732397511499175,-0.0503345100096491,0.0,1.0,0.0
423,-0.0623850633327805,-0.034836550054291,0.0,0.842,0.158
580,-0.0688687106539261,-0.053883620679151,0.0,0.51,0.49
135,-0.1187185285704516,0.2119443505428302,0.0,1.0,0.0
450,-0.0969766135737708,0.138953740147326,0.0,1.0,0.0
164,0.1769466817255387,-0.0122929532956565,0.161,0.71,0.129
28,-0.0485895301565498,-0.0419240632998328,0.0,1.0,0.0
773,0.3419053736800489,0.0229109454140948,0.0,0.667,0.333
193,-0.0830967744592092,-0.0270529943700494,0.0,1.0,0.0
388,0.5860413781979986,0.0722225722735945,0.0,0.6,0.4
852,-0.0677335765369328,-0.0529901356631584,0.0,1.0,0.0
169,-0.0724776401825743,-0.1017617587214535,0.0,1.0,0.0
705,-0.073975182469189,-0.0856485403721938,0.0,1.0,0.0
140,-0.1000131866929286,0.1584002007175929,0.0,0.722,0.278
173,-0.0658455186457086,-0.0214050074590915,0.0,1.0,0.0
6,0.1209108236382685,-0.0144326259460871,0.162,0.602,0.236
745,-0.0610634684738994,-0.053578980620371,0.0,1.0,0.0
478,-0.0680532422095354,-0.0662628559112488,0.0,1.0,0.0
73,0.1834405738432522,0.0172041666962164,0.189,0.541,0.27
910,0.2411698095767818,-0.0378929996377393,0.0,0.477,0.523
813,-0.0606978004139075,0.0356028475524553,0.0,1.0,0.0
238,-0.0797799393113364,-0.0798641548502898,0.0,1.0,0.0
145,-0.121554454131514,0.2186346656668622,0.0,1.0,0.0
792,-0.0697177902779,-0.0590426469416913,0.0,0.694,0.306
234,0.0978805893390921,0.0160075764483484,0.0,0.846,0.154
220,-0.0680008413816809,-0.0535597919658702,0.0,1.0,0.0
923,-0.0713293987203621,-0.0236776198949945,0.0,1.0,0.0
500,-0.0818460267898681,-0.0702094217875002,0.0,1.0,0.0
132,-0.1180495969559316,0.1699719761622305,0.0,0.725,0.275
990,-0.0660143760474038,-0.0726230263040158,0.0,0.841,0.159
774,-0.0616956680936879,-0.050464225516036,0.0,0.577,0.423
185,-0.0873865072340519,-0.0985856852827641,0.0,1.0,0.0
41,-0.0672217029297925,-0.0501486220841317,0.0,0.484,0.516
696,-0.0736297861218718,-0.0515179640870385,0.15,0.85,0.0
108,0.020851635456434,-0.0056712887351532,0.0,1.0,0.0
588,-0.1078498191432949,0.1449396627431302,0.0,1.0,0.0
56,-0.065713791202356,-0.05568120435641,1.0,0.0,0.0
405,0.0406933030234418,-0.0419626390673742,0.0,0.667,0.333
442,-0.0787383266378477,-0.0849201324566484,0.0,1.0,0.0
757,0.142111604330582,-0.0234879315103654,0.0,0.889,0.111
997,-0.066659340341752,-0.0406025584350141,0.0,1.0,0.0
24,-0.1244063282046598,0.2410382139521784,0.0,1.0,0.0
467,-0.0677710991832411,-0.0533072087441102,0.0,0.606,0.394
539,0.3199459183822735,0.0080306546121223,0.0,0.778,0.222
531,0.2393222319613441,0.0126799671773064,0.0,0.867,0.133
618,-0.079544092502673,-0.0719435476033295,0.0,0.82,0.18
694,0.1026827256540761,-0.020906894629474,0.0,0.916,0.084
926,-0.1242854145723905,0.3276244706596977,0.0,0.894,0.106
338,0.3320616794822916,0.0239408534760444,0.0,0.753,0.247
51,0.2381167546132562,0.0746253880456254,0.199,0.64,0.16
507,-0.1138460963885431,0.194997663325866,0.0,1.0,0.0
516,-0.0651503682625832,-0.0157504575232679,0.083,0.779,0.138
920,-0.0733272726597671,-0.064985842260792,0.0,1.0,0.0
781,-0.0634756828298401,-0.0226476661584955,0.0,1.0,0.0
264,0.2059004018003283,0.0503821955988279,0.0,0.818,0.182
817,0.5071810744969949,0.0656076097895007,0.0,0.714,0.286
710,-0.0717649937888267,-0.0490761261747756,0.344,0.656,0.0
682,-0.0689973406832502,-0.0551313038430667,0.0,1.0,0.0
832,-0.0708057906733125,-0.0604319131888954,0.0,1.0,0.0
518,-0.0555269660550603,-0.0163760798119446,0.0,0.6,0.4
447,0.0115105242895239,-0.009691562263754,0.201,0.597,0.201
18,-0.0769917896681195,-0.0305057549499495,0.0,0.543,0.457
715,-0.0687971719498197,-0.0472804915992873,0.0,1.0,0.0
483,-0.0722128363843291,-0.0054767488082134,0.0,1.0,0.0
568,0.0166365233654033,-0.0281020477294558,0.0,1.0,0.0
433,-0.0764280979152851,-0.0558289073640148,0.194,0.806,0.0
367,0.0632575075154419,0.0478016240636233,0.0,1.0,0.0
83,0.0090854190075544,0.2925158584229029,0.0,0.686,0.314
61,-0.0720301871707089,-0.068357579018411,0.0,1.0,0.0
638,0.0154289077705977,-0.0376338347103248,0.45,0.55,0.0
272,-0.1186520249906905,0.2471186801766764,0.0,1.0,0.0
285,-0.0676366308401783,-0.0769614094549968,0.0,1.0,0.0
360,-0.0755061203034881,-0.0446471660581175,0.0,0.708,0.292
354,0.2912576196684857,0.0151641517707567,0.0,0.75,0.25
456,-0.0790883435799383,-0.0677270044436532,0.0,0.857,0.143
278,0.1418969040580864,-0.0258528485337621,0.0,0.807,0.193
12,-0.0587478466084743,-0.038309569424093,0.0,1.0,0.0
182,0.3264249726223887,0.0355850762476392,0.0,0.833,0.167
368,-0.0841330464318677,-0.0800289279733812,0.091,0.909,0.0
881,-0.076139103583857,-0.0617413052913178,0.677,0.323,0.0
615,0.2826646560401622,2.2952618878598603e-05,0.0,0.84,0.16
223,-0.0691622213599336,-0.0422347867370567,0.0,1.0,0.0
572,-0.0728018589238752,-0.06499428382323,0.0,0.816,0.184
970,-0.0859531162558426,-0.1074974360819292,0.195,0.805,0.0
653,-0.1014314202404575,0.1511158759264207,0.0,1.0,0.0
545,-0.0574926415574069,-0.0514922228243657,0.0,1.0,0.0
582,-0.0677007444584062,0.0063142053880769,0.0,1.0,0.0
633,0.2480912663588634,0.0003565688575416,0.0,0.612,0.388
176,-0.0745257148442937,-0.0625113211260837,0.151,0.703,0.146
665,-0.0781784106480836,-0.0253311940864887,0.0,1.0,0.0
673,-0.0703644469417462,-0.0578416956021666,0.0,0.435,0.565
585,-0.0111072789638257,0.1109388875858061,0.0,0.826,0.174
873,-0.1027661390440226,0.1750337473256692,0.0,1.0,0.0
393,-0.0758436784194442,-0.035309393194869,0.0,0.526,0.474
163,0.2356420238326941,-0.016939291905595,0.0,0.778,0.222
248,-0.005902009574562,-0.0427736584822504,0.0,0.881,0.119
634,0.1374871368286447,-0.0275166710416213,0.0,1.0,0.0
885,-0.061357395337284,-0.0060585245627201,0.0,1.0,0.0
669,-0.0672217029862925,-0.0501486215904927,0.511,0.489,0.0
375,-0.0620820934537132,-0.0622706606443039,0.0,1.0,0.0
412,-0.0690557743459377,-0.0618181761880418,0.0,1.0,0.0
74,-0.0673560577976434,-0.0547961323333479,0.0,0.896,0.104
113,0.0370461595759765,-0.0224068416776874,0.0,1.0,0.0
598,-0.0911028206053577,-0.0981934932263257,0.0,0.737,0.263
961,-0.0734315022918193,-0.0772898675173777,0.0,1.0,0.0
390,0.1509396261014403,-0.0269540540734627,0.0,0.857,0.143
104,-0.1206298914305007,0.2192296772713114,0.0,1.0,0.0
114,0.1813294237046044,0.0233006050082514,0.0,0.617,0.383
417,-0.0995149711125152,0.2399403097912563,0.0,1.0,0.0
525,-0.0717514623313508,-0.0630072713886437,0.0,1.0,0.0
457,-0.0801903295950129,-0.0819711384933409,0.0,0.739,0.261
409,0.4681477282734365,0.0529134938592362,0.412,0.294,0.294
92,0.0814692958484885,-0.0313015534189193,0.0,0.778,0.222
930,0.0610651775352691,-0.008546878394324,0.0,1.0,0.0
89,-0.0667074759693272,-0.0639821357925445,0.0,0.809,0.191
336,-0.0671580779936639,-0.0516770034942771,0.237,0.763,0.0
988,-0.0729524514867351,-0.0563738910726535,0.0,1.0,0.0
921,-0.0696403630870501,-0.0536560016379955,0.0,1.0,0.0
933,-0.1095129066842846,0.1854595655172873,0.0,1.0,0.0
605,-0.120415685577756,0.2080767782744176,0.0,0.426,0.574
593,-0.0706173390438631,-0.048202881649917,0.277,0.723,0.0
611,-0.091304953477864,0.0317944932505528,0.055,0.78,0.165
94,-0.069210750560519,-0.042983178253486,0.0,0.377,0.623
11,-0.0575709981078938,0.0005707521705139,0.0,1.0,0.0
396,-0.0979521897457052,0.0376244538051298,0.0,0.872,0.128
533,-0.0755419326323123,-0.078816260304307,0.0,1.0,0.0
43,-0.0824072988911337,-0.0781385021547234,0.0,0.816,0.184
42,-0.0762930122188366,-0.05327016080363,0.0,1.0,0.0
329,0.1747310286769779,-0.0265394017654621,0.263,0.526,0.211
167,0.4027722146568774,0.039871302203886,0.0,0.667,0.333
497,-0.0840956950785291,-0.0712651574615381,0.0,1.0,0.0
876,-0.0672217030631107,-0.0501485778371356,0.0,1.0,0.0
597,0.1476797392910195,0.0107117924024974,0.0,0.833,0.167
756,0.3117476077464544,-0.0034469688961128,0.0,0.6,0.4
100,0.1449963411948598,-0.0059160550460252,0.0,0.909,0.091
426,-0.0689543001126791,-0.0571018726345016,0.0,1.0,0.0
178,0.0409230203743064,-0.0554942191089411,0.0,1.0,0.0
444,-0.1434864843948456,0.3007887873900502,0.0,1.0,0.0
416,-0.0581922751756309,-0.0834298753050643,0.0,1.0,0.0
870,-0.0709619057753355,-0.0569177169108351,0.0,0.345,0.655
882,0.3984040200605193,0.0198934514448888,0.0,0.778,0.222
680,-0.1046420088132353,0.0573841563910667,0.0,0.857,0.143
177,-0.0724983150839063,-0.0774960413083012,0.444,0.556,0.0
395,-0.0690925890980852,-0.0507447588944683,0.0,1.0,0.0
911,-0.0587622392626467,-0.0502024647850174,0.0,0.714,0.286
793,-0.0646639029850527,-0.0468786416680263,0.0,1.0,0.0
960,-0.0521499374239597,-0.0155679512084143,0.0,1.0,0.0
684,-0.1135277874246695,0.2296181858369149,0.0,1.0,0.0
383,0.0372121483233395,0.0182128327247257,0.0,1.0,0.0
956,-0.1003189137297495,0.0867240465318009,0.0,1.0,0.0
751,-0.068376304706918,-0.0505681785746537,0.0,1.0,0.0
257,0.0636164236708783,-0.0096977555629472,0.0,0.548,0.452
538,-0.0791488526137494,-0.0995428439385471,0.0,0.8,0.2
335,-0.0712958033378676,0.0166941583597969,0.245,0.588,0.167
15,-0.0789529541077829,-0.0217427382351807,0.0,1.0,0.0
324,-0.0729059895110257,-0.0290215743094246,0.0,1.0,0.0
758,-0.1075354082562536,0.1022064459342113,0.0,0.83,0.17
222,0.1884549616978202,0.0636336921924936,0.0,0.703,0.297
179,-0.067548575149456,-0.0456273747752914,0.0,1.0,0.0
983,-0.116579383932817,0.1875100726505772,0.0,1.0,0.0
22,-0.1185062765786833,0.2143753153380529,0.333,0.667,0.0
356,-0.0824163432848707,-0.0687686347592896,0.0,1.0,0.0
666,-0.1060240943239029,0.1544316189499195,0.0,0.5,0.5
861,-0.0947870504772325,0.1712804044548156,0.0,1.0,0.0
340,-0.0688439642570014,-0.0192958925273664,0.0,1.0,0.0
431,-0.0808207540083728,-0.0751810635103741,0.0,1.0,0.0
551,0.3275717625635558,0.0224247829176406,0.0,0.714,0.286
833,-0.1398296950335443,0.3388257254724973,0.0,1.0,0.0
203,-0.0687268266324411,-0.0519908069864394,0.0,1.0,0.0
630,0.1860425213665878,-0.0082133562948682,0.0,0.714,0.286
93,0.2964338313251969,0.0439251181985661,0.0,0.75,0.25
558,-0.1035343501622254,0.200697495274584,0.0,1.0,0.0
68,-0.0726963080416305,-0.0767413325547078,0.0,1.0,0.0
622,-0.1185062765334792,0.2143753470382247,0.434,0.566,0.0
284,-0.0721848468847552,-0.0604638842030695,0.0,0.406,0.594
844,-0.0672217029191591,-0.0501485853106303,0.0,1.0,0.0
434,-0.0115421228206506,-0.0392233937521962,0.0,1.0,0.0
153,-0.0795224413764962,-0.0658756810924233,0.0,1.0,0.0
75,0.29270541420694,0.0252477308959244,0.0,0.778,0.222
730,-0.0768491011763407,-0.07686872977822,0.0,0.769,0.231
446,-0.0842297294942232,-0.0824275802000124,0.0,0.909,0.091
188,0.1575897841894096,-0.0065741243439659,0.0,0.583,0.417
271,-0.0791606106755634,-0.0545818410856783,0.0,1.0,0.0
236,-0.0766246751915796,-0.0891087234463577,0.0,1.0,0.0
487,0.3623834566146963,0.043454030693079,0.0,0.667,0.333
117,-0.1262845918102275,0.2649698950914341,0.0,1.0,0.0
943,0.2647241585554331,0.0109693749372234,0.0,0.647,0.353
512,0.3428614146018957,0.0259063112533595,0.0,0.75,0.25
825,-0.0648950483405113,-0.0406622178976653,0.0,0.515,0.485
591,-0.0723525386320587,-0.0540753571490089,0.0,1.0,0.0
126,-0.0801296766826745,-0.0685120497015399,0.0,0.626,0.374
116,-0.0949552322085083,0.1566355426248293,0.0,1.0,0.0
473,-0.0432266611882423,-0.0153686517266292,0.0,1.0,0.0
693,-0.09974125008066,0.1243772657729463,0.0,0.763,0.237
57,-0.0743049973345315,-0.0413009709216101,0.0,1.0,0.0
863,-0.0730127406959159,-0.0324527610500153,0.0,1.0,0.0
912,-0.0755401150767586,-0.0613141114204403,0.0,0.847,0.153
369,-0.0177672430518767,-0.0408141547422474,0.051,0.949,0.0
268,-0.1519920840614567,0.3693153038097534,0.0,1.0,0.0
46,-0.1193372251315618,0.1624194156450746,0.0,0.752,0.248
349,-0.0646074346834464,-0.0464762269437585,0.0,1.0,0.0
195,0.3886485678893974,0.0528391757320846,0.0,0.857,0.143
999,-0.0697522196420584,-0.0469968600777143,0.0,0.785,0.215
834,-0.0658911424569365,-0.0629262321833783,0.0,1.0,0.0
736,-0.0726903738213744,-0.0629521117241618,0.729,0.271,0.0
263,-0.0751205115331885,-0.0702027006983555,0.153,0.847,0.0
443,0.0512613900510758,0.0272480902036722,0.0,0.664,0.336
675,-0.0683017062108021,-0.0519414302727495,0.0,1.0,0.0
304,0.1223091463687397,-0.0380011432678331,0.095,0.448,0.457
341,-0.0651103030800739,-0.0447472064972127,0.0,1.0,0.0
966,-0.0755856618142917,-0.0545914013174796,0.0,1.0,0.0
149,-0.0846814265018162,-0.1014168069944614,0.0,0.705,0.295
124,-0.0683353048069723,-0.053314413375521,0.268,0.732,0.0
786,-0.0627480899026929,-0.0517178788111421,0.0,1.0,0.0
50,-0.0666011535033745,-0.0623483723041812,0.0,0.656,0.344
353,-0.0383918172639284,-0.0175981918547794,0.0,0.87,0.13
927,-0.0626659343788111,-0.0425969476674147,0.354,0.646,0.0
142,0.2797749940166818,0.0130752071040939,0.0,0.75,0.25
470,-0.1020540942254832,0.1931154724225603,0.0,0.588,0.412
399,0.3117476077400546,-0.0034469708513589,0.0,0.5,0.5
625,-0.1090164038305903,0.1807411506905882,0.0,0.87,0.13
320,-0.0907779635522915,-0.0921947530003898,0.345,0.655,0.0
19,-0.0804284072918337,-0.0849223949320951,0.0,0.723,0.277
809,-0.1139615634472795,0.1748667021892041,0.0,1.0,0.0
790,-0.1038952367497054,0.1254544574514929,0.0,0.354,0.646
808,0.2201074597121486,-0.0003657694921512,0.0,0.6,0.4
407,-0.0711202752287573,-0.0540311042864073,0.73,0.27,0.0
537,-0.0793115823515023,-0.0868699752248357,0.0,1.0,0.0
620,-0.1109497953483316,0.267465163806695,0.462,0.538,0.0
38,0.0084785196775913,0.2872649567120894,0.0,1.0,0.0
175,-0.0693179996122883,-0.0490134597368066,0.0,1.0,0.0
245,0.1260880723173287,-0.0289115214533226,0.0,0.576,0.424
828,-0.082009143097063,-0.0811487691833576,0.0,1.0,0.0
667,-0.0995313434215781,0.1645508503549953,0.0,1.0,0.0
754,-0.0312051893403777,-0.0554623139291857,0.0,1.0,0.0
858,-0.0761524160176543,-0.0666432128812606,0.154,0.846,0.0
154,-0.0732980527753878,-0.0546616856794057,0.0,1.0,0.0
287,-0.0707713470772997,-0.0607487338675464,0.0,0.65,0.35
602,0.2009015433109153,-0.006926838009487,0.0,0.846,0.154
569,0.1979070828303833,0.0225827451536884,0.0,0.846,0.154
743,-0.0786773560570052,-0.0453368117144909,0.189,0.732,0.079
17,0.3117476077466077,-0.0034469795926888,0.195,0.575,0.23
127,-0.092135399313448,-0.0874412477544625,0.0,1.0,0.0
322,0.4684165636036154,0.046677457106143,0.0,0.6,0.4
255,0.0876978145500158,0.0032129593712887,0.0,1.0,0.0
657,-0.0574029581692285,-0.0507645669881027,0.0,1.0,0.0
964,-0.1005385965774448,0.1369922338347634,0.0,1.0,0.0
190,-0.1136439078026856,0.1191716926210507,0.0,0.778,0.222
115,-0.0664245919204296,-0.0556693090387539,0.0,1.0,0.0
616,0.2034068265563696,-0.0271062760801074,0.0,0.404,0.596
606,-0.06786720799251,-0.0491472151413285,0.0,1.0,0.0
180,-0.0833995275226396,-0.0340048034515469,0.144,0.856,0.0
301,0.2989858182175927,0.0170511091643335,0.0,0.833,0.167
759,-0.0749872649779883,-0.0703851886618442,0.556,0.444,0.0
712,-0.1230993510124701,0.3809281439965948,0.0,1.0,0.0
723,0.2329465190355912,-0.0065347764093939,0.0,0.6,0.4
685,-0.0714153633833095,-0.0615238583380149,0.0,1.0,0.0
979,-0.0719922314527247,-0.0771721732103503,0.275,0.725,0.0
517,0.1864937048853539,-0.0054863328878861,0.0,0.403,0.597
984,-0.1255561559346262,0.2591891247158766,0.0,0.385,0.615
